Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
C,66.8,Call,66.5,08/11/17,1,0.26,0.29,0.32,0.23,870,193,4.51,0.00%,08/11/17
SRPT,38.34,Call,42,09/15/17,34,0.76,1.13,1.50,1,587,131,4.48,52.84%,08/11/17
KMI,19.07,Call,19,08/11/17,1,0.05,0.07,0.09,0.08,1038,234,4.44,0.00%,08/11/17
SNAP,11.83,Put,19,01/19/18,160,7.25,7.48,7.70,7.2,1005,227,4.43,62.57%,08/11/17
DST,50.6,Put,57.5,08/18/17,6,6.50,6.8,7.10,1.68,736,167,4.41,0.00%,08/11/17
FITB,26.11,Put,27,08/18/17,6,0.90,0.94,0.97,0.57,2070,470,4.4,24.94%,08/11/17
BIDU,223.49,Call,222.5,08/18/17,6,4.05,4.18,4.30,4.14,509,116,4.39,34.98%,08/11/17
CLVS,70.99,Put,60,09/15/17,34,0.75,0.98,1.20,0.9,638,146,4.37,57.45%,08/11/17
M,20.62,Call,21,08/18/17,6,0.23,0.26,0.28,0.25,3812,877,4.35,42.89%,08/11/17
GLW,28.98,Put,27,01/18/19,524,2.61,2.65,2.69,2.65,2141,493,4.34,28.14%,08/11/17
SEAS,12.76,Put,17,01/19/18,160,4.40,4.6,4.80,4.45,40566,9344,4.34,46.57%,08/11/17
GE,25.2,Call,27,09/01/17,20,0.01,0.03,0.04,0.02,3501,808,4.33,18.61%,08/11/17
RHT,98.34,Call,100,09/15/17,34,2.00,2.13,2.25,2.22,4236,983,4.31,23.90%,08/11/17
TGT,55.65,Call,55.5,08/11/17,1,0.11,0.16,0.21,0.22,1993,462,4.31,0.00%,08/11/17
AMD,12.23,Put,8,09/01/17,20,0.00,0.01,0.01,0.27,502,117,4.29,78.08%,08/11/17
CSCO,31.47,Call,33,09/01/17,20,0.14,0.18,0.22,0.17,1213,286,4.24,23.43%,08/11/17
SNAP,11.83,Call,12,08/11/17,1,0.00,0.02,0.02,0.01,4073,965,4.22,0.00%,08/11/17
XOM,78.21,Call,79,08/11/17,1,0.00,0.01,0.01,0.02,1658,398,4.17,0.00%,08/11/17
GOOGL,930.09,Call,930,08/11/17,1,0.20,0.55,0.90,0.45,1071,258,4.15,0.00%,08/11/17
CEQP,25.1,Call,22.5,08/18/17,6,2.40,2.68,2.95,4,700,169,4.14,67.71%,08/11/17
CHTR,394.49,Call,410,09/15/17,34,7.50,8.65,9.80,8.5,1225,296,4.14,31.16%,08/11/17
AMZN,967.99,Call,967.5,08/18/17,6,11.25,11.53,11.80,11.5,553,135,4.1,24.81%,08/11/17
AES,11.1,Put,10,08/18/17,6,0.00,0.1,0.10,0.05,1000,245,4.08,73.80%,08/11/17
TSLA,357.87,Call,360,08/11/17,1,0.00,0.01,0.01,0.01,16805,4127,4.07,0.00%,08/11/17
BABA,151.7,Put,135,09/01/17,20,1.05,1.13,1.20,1.12,844,208,4.06,47.80%,08/11/17
IVZ,33.99,Put,30,01/19/18,160,0.75,0.83,0.90,0.85,565,140,4.04,27.77%,08/11/17
JCP,3.93,Call,4,08/18/17,6,0.12,0.13,0.14,0.12,7263,1801,4.03,87.75%,08/11/17
CMG,326.41,Call,325,08/11/17,1,1.10,1.95,2.80,0.9,802,200,4.01,0.00%,08/11/17
SWKS,103.18,Put,95,09/15/17,34,1.05,1.1,1.15,1.15,1011,252,4.01,33.06%,08/11/17
JPM,91.42,Call,92,08/11/17,1,0.00,0.01,0.01,0.01,2483,621,4,0.00%,08/11/17
WPM,19.04,Call,19.5,08/18/17,6,0.12,0.15,0.17,0.17,808,204,3.96,35.96%,08/11/17
KN,14.71,Put,15,08/18/17,6,0.40,0.45,0.50,0.55,780,199,3.92,40.82%,08/11/17
GOOG,914.39,Put,907.5,08/11/17,1,0.00,0.05,0.05,0.05,625,160,3.91,0.00%,08/11/17
APRN,5.12,Call,5.5,08/18/17,6,0.05,0.08,0.10,0.05,694,178,3.9,86.00%,08/11/17
BIDU,223.49,Put,220,08/11/17,1,0.00,0.01,0.01,0.03,3977,1025,3.88,0.00%,08/11/17
SLM,10.33,Call,11,10/20/17,69,0.29,0.35,0.41,0.31,546,141,3.87,33.91%,08/11/17
NEM,36.53,Call,42,12/15/17,125,0.78,0.83,0.87,0.81,1096,285,3.85,29.47%,08/11/17
PCLN,1854.17,Call,1870,08/11/17,1,0.00,0.05,0.05,0.04,953,248,3.84,0.00%,08/11/17
JD,45.9,Call,42,01/19/18,160,6.65,6.93,7.20,7.06,4506,1173,3.84,39.95%,08/11/17
QEP,7.3,Put,20,01/19/18,160,12.60,12.7,12.80,6.6,3000,784,3.83,83.61%,08/11/17
SNE,39,Put,36,08/18/17,6,0.00,0.05,0.05,0.05,787,206,3.82,38.39%,08/11/17
GOOG,914.39,Call,915,08/18/17,6,8.00,8.3,8.60,8.26,586,154,3.81,20.00%,08/11/17
NVDA,155.96,Put,147,08/18/17,6,0.72,0.8,0.88,0.77,853,224,3.81,51.87%,08/11/17
AAP,107.34,Put,90,08/18/17,6,0.10,0.25,0.40,0.33,1023,270,3.79,94.04%,08/11/17
BABA,151.7,Call,147,08/11/17,1,4.35,4.7,5.05,4.65,1314,347,3.79,0.00%,08/11/17
CAA,35.14,Call,40,08/18/17,6,0.00,0.05,0.05,0.05,1000,264,3.79,57.03%,08/11/17
AMZN,967.99,Call,975,08/11/17,1,0.00,0.01,0.01,0.01,3756,997,3.77,0.00%,08/11/17
DHI,36.09,Call,36.5,08/18/17,6,0.20,0.22,0.23,0.22,906,241,3.76,22.66%,08/11/17
JCP,3.93,Put,4,08/11/17,1,0.06,0.1,0.13,0.07,27920,7473,3.74,0.00%,08/11/17
NVDA,155.96,Call,157.5,09/01/17,20,5.45,5.55,5.65,5.7,503,135,3.73,43.85%,08/11/17
SNAP,11.83,Put,12,08/11/17,1,0.17,0.18,0.18,0.18,19028,5119,3.72,0.00%,08/11/17
JCP,3.93,Call,4.5,08/18/17,6,0.01,0.02,0.03,0.02,1992,535,3.72,89.03%,08/11/17
AMZN,967.99,Put,967.5,08/11/17,1,0.05,0.15,0.25,0.05,3543,953,3.72,0.00%,08/11/17
TSLA,357.87,Put,355,08/11/17,1,0.02,0.03,0.03,0.04,11218,3014,3.72,0.00%,08/11/17
ASGN,46.68,Put,55,08/18/17,6,7.80,8.35,8.90,6.15,505,136,3.71,70.74%,08/11/17
C,66.8,Call,67,08/11/17,1,0.00,0.03,0.03,0.02,2169,587,3.7,0.00%,08/11/17
OXY,61.13,Call,67.5,06/15/18,307,1.70,1.83,1.96,1.9,750,204,3.68,17.53%,08/11/17
PNC,128.05,Call,65,01/19/18,160,61.00,62.88,64.75,62.1,1165,317,3.68,0.00%,08/11/17
AMZN,967.99,Put,962.5,08/11/17,1,0.01,0.02,0.02,0.02,2796,765,3.65,0.00%,08/11/17
NVDA,155.96,Call,150,08/11/17,1,5.75,5.93,6.10,5.97,1738,483,3.6,0.00%,08/11/17
ADSK,108.01,Call,120,01/19/18,160,5.70,5.95,6.20,6.1,1001,279,3.59,35.91%,08/11/17
INTC,35.87,Call,34,11/17/17,97,2.62,2.67,2.71,2.66,759,212,3.58,20.79%,08/11/17
FB,168.08,Put,190,08/25/17,13,21.75,21.98,22.20,17.1,501,140,3.58,35.06%,08/11/17
STX,32.29,Call,34,09/08/17,27,0.46,0.51,0.56,0.45,518,145,3.57,33.00%,08/11/17
AMZN,967.99,Call,990,08/25/17,13,6.70,7.35,8.00,7.35,787,221,3.56,22.45%,08/11/17
KEY,17.52,Call,19.5,08/25/17,13,0.00,0.02,0.02,0.03,879,248,3.54,30.28%,08/11/17
YPF,20.11,Call,20,08/18/17,6,0.30,0.4,0.50,0.4,631,178,3.54,36.38%,08/11/17
VUZI,6.25,Put,7.5,09/15/17,34,1.35,1.7,2.05,2.15,882,250,3.53,116.42%,08/11/17
AMZN,967.99,Put,965,08/11/17,1,0.01,0.03,0.05,0.01,5286,1499,3.53,0.00%,08/11/17
MSFT,72.5,Put,70.5,09/01/17,20,0.61,0.66,0.71,0.64,561,160,3.51,22.41%,08/11/17
NFLX,171.4,Call,172.5,08/11/17,1,0.00,0.01,0.01,0.01,7759,2228,3.48,0.00%,08/11/17
VIAB,30.66,Call,35,01/19/18,160,1.05,1.13,1.20,1.09,4019,1163,3.46,31.65%,08/11/17
M,20.62,Put,20.5,08/18/17,6,0.32,0.34,0.36,0.35,1429,413,3.46,41.51%,08/11/17
TSLA,357.87,Put,357.5,08/11/17,1,0.12,0.18,0.24,0.12,6940,2004,3.46,0.00%,08/11/17
TSLA,357.87,Call,355,08/11/17,1,2.65,3,3.35,2.8,5062,1473,3.44,0.00%,08/11/17
AMZN,967.99,Call,955,08/11/17,1,12.65,13.13,13.60,13,917,268,3.42,0.00%,08/11/17
JD,45.9,Put,43,08/18/17,6,0.77,0.84,0.91,0.83,2256,660,3.42,94.51%,08/11/17
