Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
ETE,17.23,Call,5,01/19/18,161,12.20,12.5,12.80,12.9,1770,617,2.87,129.85%,08/10/17
AMZN,956.92,Put,950,08/11/17,0,2.90,3.1,3.30,2.94,5309,1854,2.86,29.83%,08/10/17
PNR,61.52,Put,55,11/17/17,98,0.80,0.88,0.95,0.9,592,207,2.86,26.35%,08/10/17
BP,35.47,Call,35,08/25/17,14,0.74,0.79,0.83,1.6,2892,1016,2.85,19.14%,08/10/17
FNSR,23.43,Put,25,09/15/17,35,2.70,2.75,2.80,2.71,3336,1169,2.85,63.79%,08/10/17
WPM,19.94,Put,19.5,08/18/17,7,0.16,0.22,0.27,0.27,2042,716,2.85,39.46%,08/10/17
AMZN,956.92,Put,947.5,08/11/17,0,2.22,2.41,2.59,2.68,579,204,2.84,30.07%,08/10/17
EDAP,2.69,Call,3,02/16/18,189,0.15,0.3,0.45,0.7,600,211,2.84,53.47%,08/10/17
MVO,4.91,Call,5,11/17/17,98,0.00,0.4,0.40,0.85,900,317,2.84,23.23%,08/10/17
RH,56.05,Call,60,08/18/17,7,0.50,0.83,1.15,1.1,2163,767,2.82,76.62%,08/10/17
CX,9.29,Put,9,10/20/17,70,0.35,0.4,0.45,0.38,6116,2178,2.81,34.10%,08/10/17
MSI,86.99,Put,85,08/18/17,7,0.44,0.51,0.58,0.48,1908,678,2.81,28.83%,08/10/17
AMGN,169.11,Put,167.5,08/11/17,0,0.27,0.32,0.36,0.33,511,183,2.79,25.65%,08/10/17
DB,16.86,Call,17,09/15/17,35,0.62,0.63,0.63,0.64,589,212,2.78,33.27%,08/10/17
NFLX,169.14,Put,162.5,08/18/17,7,1.41,1.47,1.52,1.43,1164,418,2.78,46.37%,08/10/17
