NKE,58.36,Put,58,08/04/17,9,0.45,0.47,0.48,0.43,571,147,3.88,18.47%,07/26/17
AAL,51.01,Call,51,08/04/17,9,1.16,1.23,1.30,1.19,715,186,3.84,40.47%,07/26/17
BX,34.49,Call,30,01/19/18,177,4.40,4.53,4.65,4.5,78065,20303,3.84,0.00%,07/26/17
BA,233.45,Put,215,07/28/17,2,0.01,0.03,0.04,0.04,557,145,3.84,67.02%,07/26/17
T,38.03,Put,38,07/28/17,2,0.15,0.17,0.19,0.17,1656,432,3.83,23.33%,07/26/17
F,11.06,Put,10.5,08/11/17,16,0.03,0.04,0.05,0.05,828,216,3.83,24.48%,07/26/17
BX,34.49,Call,32,09/15/17,51,2.45,2.54,2.62,2.59,11460,3003,3.82,0.00%,07/26/17
AMAT,47.45,Put,46.5,07/28/17,2,0.08,0.11,0.14,0.16,1465,384,3.82,43.58%,07/26/17
GILD,74.19,Put,75,11/17/17,114,4.10,4.65,5.20,4.5,1651,433,3.81,26.44%,07/26/17
ACHN,4.2,Put,5,09/15/17,51,0.90,1,1.10,1,1250,328,3.81,75.36%,07/26/17
FINL,13.47,Put,13,08/18/17,23,0.25,0.28,0.30,0.25,5019,1325,3.79,36.79%,07/26/17
AMZN,1052.8,Call,1052.5,07/28/17,2,20.45,20.8,21.15,21.15,819,216,3.79,93.88%,07/26/17
FB,165.61,Put,165,08/25/17,30,4.20,4.6,5.00,4.85,667,176,3.79,26.74%,07/26/17
AMD,14.76,Put,13.5,08/18/17,23,0.27,0.29,0.30,0.27,1826,483,3.78,54.72%,07/26/17
CZR,12.8,Call,12,12/15/17,142,1.20,1.4,1.60,1.3,935,250,3.74,29.79%,07/26/17
DDD,17.09,Put,15,11/17/17,114,1.07,1.12,1.16,1.11,5012,1339,3.74,56.74%,07/26/17
BX,34.49,Call,30,09/15/17,51,4.40,4.48,4.55,4.5,11432,3053,3.74,0.00%,07/26/17
F,11.06,Put,11,08/25/17,30,0.22,0.23,0.24,0.23,1224,328,3.73,21.24%,07/26/17
CMG,340.6,Put,340,08/04/17,9,6.70,7,7.30,6.91,917,247,3.71,36.51%,07/26/17
FB,165.61,Put,152.5,08/18/17,23,0.57,0.73,0.88,0.87,1095,295,3.71,29.59%,07/26/17
FB,165.61,Call,185,09/15/17,51,0.87,0.99,1.10,0.95,8200,2219,3.7,25.31%,07/26/17
HOG,48.64,Call,49,07/28/17,2,0.23,0.28,0.33,0.28,687,186,3.69,42.77%,07/26/17
WFC,54.91,Put,54.5,08/18/17,23,0.76,0.78,0.80,0.78,991,269,3.68,18.43%,07/26/17
PYPL,58.79,Call,62,07/28/17,2,0.53,0.58,0.62,0.52,2703,735,3.68,136.83%,07/26/17
WYNN,132,Call,132,07/28/17,2,0.35,0.77,1.19,1.09,699,191,3.66,27.86%,07/26/17
BX,34.49,Call,27,01/18/19,541,6.00,7.1,8.20,8.45,8800,2402,3.66,0.00%,07/26/17
ANF,9.54,Put,10,09/15/17,51,1.16,1.21,1.26,1.25,1126,308,3.66,67.57%,07/26/17
PANW,138.73,Call,145,08/18/17,23,1.35,1.5,1.65,1.42,3412,935,3.65,27.51%,07/26/17
SBUX,57.94,Put,54,07/28/17,2,0.17,0.2,0.22,0.21,1302,358,3.64,114.05%,07/26/17
CMCSA,39.35,Put,38.5,07/28/17,2,0.23,0.25,0.26,0.27,2108,583,3.62,70.47%,07/26/17
FLO,17.74,Call,20,10/20/17,86,0.15,0.2,0.25,0.25,2128,591,3.6,25.05%,07/26/17
BABA,155.79,Put,162.5,08/04/17,9,6.50,7.2,7.90,7.05,1084,303,3.58,27.85%,07/26/17
MS,47.21,Call,55,06/15/18,324,1.41,1.47,1.52,1.52,2000,560,3.57,21.65%,07/26/17
F,11.06,Put,10.5,08/04/17,9,0.01,0.03,0.04,0.02,1328,372,3.57,28.96%,07/26/17
F,11.06,Put,10,11/17/17,114,0.19,0.2,0.21,0.2,1103,309,3.57,25.47%,07/26/17
STX,32.34,Call,33,07/28/17,2,0.12,0.14,0.16,0.15,1139,320,3.56,56.08%,07/26/17
MT,25.71,Call,25,01/18/19,541,4.45,4.98,5.50,4.97,630,177,3.56,36.32%,07/26/17
BOOT,6.6,Call,7.5,08/18/17,23,0.15,0.4,0.65,0.35,502,141,3.56,111.43%,07/26/17
SQM,39.43,Call,40,10/20/17,86,2.25,2.3,2.35,2.3,2472,701,3.53,33.13%,07/26/17
AMD,14.76,Call,16.5,08/18/17,23,0.24,0.25,0.25,0.24,3159,895,3.53,55.10%,07/26/17
X,26.2,Call,28,07/28/17,2,0.03,0.04,0.04,0.03,3023,859,3.52,84.51%,07/26/17
LVS,61.65,Call,64,07/28/17,2,0.39,0.45,0.51,0.45,3911,1117,3.5,99.16%,07/26/17
HALO,13.53,Call,13,01/19/18,177,1.80,1.85,1.90,1.9,2455,703,3.49,41.96%,07/26/17
EPD,27.6,Call,18,01/19/18,177,9.50,9.65,9.80,9.6,600,172,3.49,0.00%,07/26/17
ATVI,62.64,Call,61.5,07/28/17,2,1.23,1.28,1.32,1.18,2215,640,3.46,39.71%,07/26/17
